projID,studyear,communty,commname,strata,strataName,HHID,recordType,aprWork,augWork,decWork,earnings,febWork,filterq,janWork,jobnum,julWork,junWork,marWork,mayWork,novWork,octWork,person,recordTypeCD,schedule,sepWork,SIC,SOC,subRecordCD,version
316,2024,11,Ambler,0,Community,11,Household Employment,0,0,0,-9,0,1,0,2,0,0,0,0,0,0,2,23,-9,0,-9,-9,0,2
316,2024,11,Ambler,0,Community,11,Household Employment,0,0,0,-9,0,1,0,3,0,0,0,0,0,0,3,23,-9,0,-9,-9,0,2
316,2024,11,Ambler,0,Community,11,Household Employment,0,0,0,,0,1,0,2,0,0,0,0,0,0,2,23,,0,-9,-9,0,1
316,2024,11,Ambler,0,Community,11,Household Employment,0,0,0,,0,1,0,3,0,0,0,0,0,0,3,23,,0,-9,-9,0,1
316,2024,11,Ambler,0,Community,21,Household Employment,0,0,0,,0,1,0,2,0,0,0,0,0,0,2,23,,0,-2,-2,0,1
316,2024,11,Ambler,0,Community,21,Household Employment,0,0,0,,0,1,0,2,0,0,0,0,0,0,2,23,,0,-1,-1,0,2
316,2024,11,Ambler,0,Community,33,Household Employment,0,0,0,-9,0,1,0,4,0,0,0,0,0,0,5,23,-9,0,-9,-9,0,1
316,2024,11,Ambler,0,Community,33,Household Employment,0,0,0,-8,0,1,0,1,0,0,0,0,0,0,3,23,-8,0,-8,-8,0,1
316,2024,11,Ambler,0,Community,33,Household Employment,0,0,0,-8,0,1,0,1,0,0,0,0,0,0,3,23,5,0,-8,-8,0,2
316,2024,11,Ambler,0,Community,33,Household Employment,0,0,0,,0,1,0,4,0,0,0,0,0,0,5,23,,0,-9,-9,0,2
316,2024,11,Ambler,0,Community,51,Household Employment,-1,-1,-1,15000,-1,1,-1,2,0,0,-1,-1,-1,-1,2,23,1,-1,30,12,0,2
316,2024,11,Ambler,0,Community,51,Household Employment,-1,-1,-1,15000,-1,1,-1,2,0,0,-1,0,-1,-1,2,23,1,-1,30,12,0,1
316,2024,11,Ambler,0,Community,59,Household Employment,-1,-1,-1,132000,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,23,1,-1,50,1,0,2
316,2024,11,Ambler,0,Community,59,Household Employment,-1,-1,-1,137000,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,23,1,-1,50,1,0,1
316,2024,11,Ambler,0,Community,64,Household Employment,-1,-1,-1,70000,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,23,3,-1,50,20,0,1
316,2024,11,Ambler,0,Community,64,Household Employment,-1,-1,-1,70000,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,23,5,-1,50,20,0,2
316,2024,11,Ambler,0,Community,67,Household Employment,-1,-1,-1,-8,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,23,1,-1,30,13,0,1
316,2024,11,Ambler,0,Community,67,Household Employment,-1,-1,-1,-8,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,23,1,-1,120,13,0,2
316,2024,11,Ambler,0,Community,68,Household Employment,0,-1,0,-8,0,1,0,3,-1,-1,0,-1,-1,-1,3,23,1,-1,-8,-8,0,2
316,2024,11,Ambler,0,Community,68,Household Employment,0,-1,0,-8,0,1,0,3,-1,-1,0,-1,-1,-1,3,23,1,-1,50,-8,0,1
316,2024,11,Ambler,0,Community,69,Household Employment,-1,-1,-1,95000,-1,1,-1,1,0,-1,-1,-1,-1,-1,1,23,1,-1,30,1,0,1
316,2024,11,Ambler,0,Community,69,Household Employment,-1,-1,-1,95000,-1,1,-1,1,0,-1,-1,-1,-1,-1,1,23,1,-1,,1,0,2
316,2024,11,Ambler,0,Community,72,Household Employment,-1,-1,-1,19000,-1,1,-1,1,0,-1,-1,-1,-1,-1,1,23,1,-1,30,5,0,2
316,2024,11,Ambler,0,Community,72,Household Employment,-1,-1,-1,190000,-1,1,-1,1,0,-1,-1,-1,-1,-1,1,23,1,-1,30,5,0,1
