projID,studyear,communty,commname,strata,strataName,HHID,recordType,coder,endtime,hhSize,huntFishYN,intDate,intvwr,intvwr2,recordTypeCD,refusedFL,strtime,subRecordCD,version
316,2024,11,Ambler,0,Community,26,Household information,BS,1545,,,2025-04-10T00:00:00Z,BS,EP,00,,1454,0,2
316,2024,11,Ambler,0,Community,26,Household information,BS,1545,,,2025-04-10T00:00:00Z,BS,,00,,1454,0,1
316,2024,11,Ambler,0,Community,27,Household information,HD,1203,,,2025-04-14T00:00:00Z,HD,,00,,1122,0,2
316,2024,11,Ambler,0,Community,27,Household information,MM,1203,,,2025-04-14T00:00:00Z,HD,,00,,1122,0,1
316,2024,11,Ambler,0,Community,31,Household information,TB,1417,,,2025-04-12T00:00:00Z,MM,TB,00,,1256,0,2
316,2024,11,Ambler,0,Community,31,Household information,TB,1417,,,2025-04-22T00:00:00Z,MM,TB,00,,1256,0,1
316,2024,11,Ambler,0,Community,32,Household information,BS,1247,,,2025-04-10T00:00:00Z,BS,BP,00,,1215,0,1
316,2024,11,Ambler,0,Community,32,Household information,BS,1247,,,2025-04-10T00:00:00Z,BS,EP,00,,1215,0,2
316,2024,11,Ambler,0,Community,53,Household information,BS,1354,,,2025-04-10T00:00:00Z,BS,EP,00,,1328,0,1
316,2024,11,Ambler,0,Community,53,Household information,BS,1354,,,2025-04-16T00:00:00Z,BS,EP,00,,1328,0,2
316,2024,11,Ambler,0,Community,63,Household information,TB,1729,,,2025-04-12T00:00:00Z,TB,MM,00,,1503,0,1
316,2024,11,Ambler,0,Community,63,Household information,TB,1729,,,2025-04-12T00:00:00Z,TB,,00,,1503,0,2
316,2024,11,Ambler,0,Community,64,Household information,BS,1820,,,2024-04-13T00:00:00Z,BS,,00,,1754,0,2
316,2024,11,Ambler,0,Community,64,Household information,BS,1820,,,2025-04-13T00:00:00Z,BS,,00,,1754,0,1
316,2024,11,Ambler,0,Community,74,Household information,BS,1748,,,2025-04-11T00:00:00Z,BS,,00,,1721,0,2
316,2024,11,Ambler,0,Community,74,Household information,BS,1748,,,2025-04-12T00:00:00Z,BS,,00,,1721,0,1
