codeSetID,codeSetName,projID,studyear,code,codeDescription,extendedCodeSetID
3,YesNo,0,0,-9,Missing,0
3,YesNo,0,0,-8,Unknown,0
3,YesNo,0,0,-7,Refused,0
3,YesNo,0,0,-6,Didn't Ask,0
3,YesNo,0,0,0,No,0
3,YesNo,0,0,1,Yes,0
5,Units,0,0,1,Individual,0
5,Units,0,0,2,Pounds,0
5,Units,0,0,3,5 Gallon Buckets,0
5,Units,0,0,4,Gallons,0
5,Units,0,0,5,Quarts,0
5,Units,0,0,6,Cords (wood 4'4'8' stack),0
5,Units,0,0,7,Dozen,0
5,Units,0,0,8,6 Gallon Buckets,0
5,Units,0,0,9,Plastic Bag (shopping bag),0
5,Units,0,0,10,---,0
5,Units,0,0,11,Pints,0
5,Units,0,0,12,Cup,0
5,Units,0,0,13,Hours,0
5,Units,0,0,14,Miles,0
5,Units,0,0,15,Dollars,0
6,Less/Same/More,0,0,0,Never harvest/ don't use,0
6,Less/Same/More,0,0,1,Less,0
6,Less/Same/More,0,0,2,Same,0
6,Less/Same/More,0,0,3,More,0
7,Sex,0,0,1,Male,0
7,Sex,0,0,2,Female,0
6,Less/Same/More,0,0,-9,Missing,0
6,Less/Same/More,0,0,-8,Unknown,0
6,Less/Same/More,0,0,-7,Refused,0
6,Less/Same/More,0,0,-6,Didn't Ask,0
7,Sex,0,0,-9,-9 (Missing),0
7,Sex,0,0,-8,Unknown,0
7,Sex,0,0,-7,Refused,0
7,Sex,0,0,-6,Didn't Ask,0
8,Relationship,0,0,-9,Missing,0
8,Relationship,0,0,-8,Unknown,0
8,Relationship,0,0,-7,Refused,0
8,Relationship,0,0,-6,Didn't Ask,0
8,Relationship,0,0,1,Self,0
8,Relationship,0,0,2,Spouse (conjugal partner),0
8,Relationship,0,0,3,Father,0
8,Relationship,0,0,4,Mother,0
8,Relationship,0,0,5,Mother-in-Law,0
8,Relationship,0,0,6,Father-in-Law,0
8,Relationship,0,0,7,Son,0
8,Relationship,0,0,8,Daughter,0
8,Relationship,0,0,9,Grandson,0
8,Relationship,0,0,10,Granddaughter,0
8,Relationship,0,0,11,Great Grandson,0
8,Relationship,0,0,12,Great Granddaughter,0
8,Relationship,0,0,13,Brother,0
8,Relationship,0,0,14,Sister,0
8,Relationship,0,0,15,Official Foster Son,0
8,Relationship,0,0,16,Official Foster Daughter,0
8,Relationship,0,0,17,Informal Foster Son,0
8,Relationship,0,0,18,Informal Foster Daughter,0
8,Relationship,0,0,27,Stepfather,0
8,Relationship,0,0,28,Stepmother,0
8,Relationship,0,0,23,Spouse's Son,0
8,Relationship,0,0,24,Spouse's Daughter,0
8,Relationship,0,0,43,Stepdaughter,0
8,Relationship,0,0,44,Stepson,0
8,Relationship,0,0,53,Significant Other's Son,0
8,Relationship,0,0,54,Significant Other's Daughter,0
8,Relationship,0,0,29,Adopted Son,0
8,Relationship,0,0,30,Adopted Daughter,0
8,Relationship,0,0,41,Son-in-Law,0
8,Relationship,0,0,42,Daughter-in-Law,0
8,Relationship,0,0,62,Son of partner of household member,0
8,Relationship,0,0,63,Daughter of partner of household member,0
8,Relationship,0,0,72,Adopted Grandson,0
8,Relationship,0,0,57,Adopted Granddaughter,0
8,Relationship,0,0,64,Grandfather,0
8,Relationship,0,0,65,Grandmother,0
8,Relationship,0,0,50,Brother-in-Law,0
8,Relationship,0,0,51,Sister-in-law,0
8,Relationship,0,0,55,Significant Other's Brother,0
8,Relationship,0,0,56,Significant Other's Sister,0
8,Relationship,0,0,45,Nephew,0
8,Relationship,0,0,49,Niece,0
8,Relationship,0,0,39,Uncle,0
8,Relationship,0,0,40,Aunt,0
8,Relationship,0,0,38,Cousin,0
8,Relationship,0,0,73,Cousin's Son,0
8,Relationship,0,0,58,Cousin's Daughter,0
8,Relationship,0,0,68,Great Grandfather,0
8,Relationship,0,0,69,Great Grandmother,0
8,Relationship,0,0,66,Great Uncle,0
8,Relationship,0,0,67,Great Aunt,0
8,Relationship,0,0,70,Great Nephew,0
8,Relationship,0,0,71,Great Neice,0
8,Relationship,0,0,59,Great Nephew's Daughter,0
8,Relationship,0,0,60,Great Nephew's Spouse,0
8,Relationship,0,0,31,Household Member Spouse/Partner,0
8,Relationship,0,0,33,Friend (roommate),0
8,Relationship,0,0,61,Ex-Spouse (ex-conjugal partner),0
8,Relationship,0,0,48,Extended Family,0
8,Relationship,0,0,99,Other Relationship,0
16,ethnic,0,0,-9,Missing,0
16,ethnic,0,0,-8,Unknown,0
16,ethnic,0,0,-7,Refused,0
16,ethnic,0,0,-6,Didn't Ask,0
16,ethnic,0,0,0,Not native,0
16,ethnic,0,0,1,Yes,0
19,Food security food types,0,0,-9,Missing,0
19,Food security food types,0,0,-8,Unknown,0
19,Food security food types,0,0,-7,Refused,0
19,Food security food types,0,0,-6,Didn't Ask,0
19,Food security food types,0,0,1,Wild food,0
19,Food security food types,0,0,2,Store bought food,0
19,Food security food types,0,0,3,Both,0
20,Job Schedules,0,0,-9,Missing,0
20,Job Schedules,0,0,-8,Unknown,0
20,Job Schedules,0,0,-7,Refused,0
20,Job Schedules,0,0,-6,Didn't Ask,0
20,Job Schedules,0,0,0,Does not work,0
20,Job Schedules,0,0,1,Full Time,0
20,Job Schedules,0,0,2,Part time,0
20,Job Schedules,0,0,3,Shift - full time,0
20,Job Schedules,0,0,4,"On-call, varies",0
20,Job Schedules,0,0,5,Shift - part time,0
21,Other income sources,0,0,-9,Missing,0
21,Other income sources,0,0,-8,Unknown,0
21,Other income sources,0,0,-7,Refused,0
21,Other income sources,0,0,-6,Didn't Ask,0
21,Other income sources,0,0,2,TANF (Temp. Cash Asst. for needy families),0
21,Other income sources,0,0,3,"Adult Public Assistance (OAA, APD)",0
