projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,usuallyq,resource,used,attempt,harvestq,giveaway,received,units,harvJan,harvFeb,harvMar,harvApr,harvMay,harvJun,harvJul,harvAug,harvSep,harvOct,harvNov,harvDec,harvUnkn,sex
316,11,2024,1,0,1,12,0,default,0,0,300802000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,11,2024,1,0,1,12,0,default,0,0,300802000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
316,11,2024,1,0,1,12,0,default,0,0,300802000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
316,11,2024,1,0,1,12,0,default,0,0,300810000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,1,0,1,12,0,default,0,0,300812000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,1,0,1,12,0,default,0,0,300808000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,1,0,1,12,0,default,0,0,300899000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,1,0,1,12,0,default,0,0,301602000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,1,0,1,12,0,default,0,0,301606000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,1,0,1,12,0,default,0,0,301400000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,1,0,1,12,0,default,0,0,300400000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,5,0,1,12,0,default,1,0,300802000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,11,2024,5,0,1,12,0,default,1,0,300802000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
316,11,2024,5,0,1,12,0,default,1,0,300802000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
316,11,2024,5,0,1,12,0,default,1,0,300810000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,5,0,1,12,0,default,1,0,300812000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,5,0,1,12,0,default,1,0,300808000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,5,0,1,12,0,default,1,0,300899000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,5,0,1,12,0,default,1,0,301602000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
316,11,2024,5,0,1,12,0,default,1,0,301606000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
