projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,usuallyq,resource,used,attempt,harvestq,giveaway,received,units,amtSeine,amtDipNet,amtRodReel,amtOtherGear,othGearCD1,amtDogFood,amtFishWheel,amtUnspecifiedGillNet
316,11,2024,1,0,1,04,0,default,0,0,111000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,1,0,1,04,0,default,0,0,114000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,1,0,1,04,0,default,0,0,112000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,1,0,1,04,0,default,0,0,115000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,1,0,1,04,0,default,0,0,113000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,1,0,1,04,0,default,0,0,119000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,5,0,1,04,0,default,1,0,111000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,5,0,1,04,0,default,1,0,114000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,5,0,1,04,0,default,1,0,112000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,5,0,1,04,0,default,1,0,115000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,5,0,1,04,0,default,1,0,113000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,5,0,1,04,0,default,1,0,119000000,1,0,0,0,1,1,0,0,0,0,,0,,0
316,11,2024,13,0,1,04,0,default,1,1,111000000,1,0,0,0,1,1,0,0,0,0,,0,,0
316,11,2024,13,0,1,04,0,default,1,1,114000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,13,0,1,04,0,default,1,1,112000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,13,0,1,04,0,default,1,1,115000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,13,0,1,04,0,default,1,1,113000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,13,0,1,04,0,default,1,1,119000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,42,0,1,04,0,default,1,1,111000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,42,0,1,04,0,default,1,1,114000000,1,1,1,1,0,1,0,0,0,0,,0,,30
316,11,2024,42,0,1,04,0,default,1,1,112000000,1,1,1,1,0,1,60,0,0,0,,0,,0
316,11,2024,42,0,1,04,0,default,1,1,115000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,42,0,1,04,0,default,1,1,113000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,42,0,1,04,0,default,1,1,119000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,3,0,1,04,0,default,1,0,111000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,3,0,1,04,0,default,1,0,114000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,3,0,1,04,0,default,1,0,112000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,3,0,1,04,0,default,1,0,115000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,3,0,1,04,0,default,1,0,113000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,3,0,1,04,0,default,1,0,119000000,1,1,1,0,0,1,0,0,-8,0,,0,,0
316,11,2024,8,0,1,04,0,default,1,0,111000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,8,0,1,04,0,default,1,0,114000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,8,0,1,04,0,default,1,0,112000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,8,0,1,04,0,default,1,0,115000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,8,0,1,04,0,default,1,0,113000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,8,0,1,04,0,default,1,0,119000000,1,0,0,0,1,1,0,0,0,0,,0,,0
316,11,2024,11,0,1,04,0,default,1,0,111000000,1,0,0,0,1,1,0,0,0,0,,0,,0
316,11,2024,11,0,1,04,0,default,1,0,114000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,11,0,1,04,0,default,1,0,112000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,11,0,1,04,0,default,1,0,115000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,11,0,1,04,0,default,1,0,113000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,11,0,1,04,0,default,1,0,119000000,0,0,0,0,0,1,0,0,0,0,,0,,0
316,11,2024,14,0,1,04,0,default,1,1,111000000,1,1,1,1,1,1,50,0,0,0,,0,,0
316,11,2024,14,0,1,04,0,default,1,1,114000000,1,1,1,0,0,1,4,0,0,0,,0,,0
316,11,2024,14,0,1,04,0,default,1,1,112000000,1,1,1,1,1,1,10,0,0,0,,0,,0
