projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,usuallyq,resource,used,attempt,harvestq,giveaway,received,harvJan,harvFeb,harvMar,harvApr,harvMay,harvJun,harvJul,harvAug,harvSep,harvOct,harvNov,harvDec,harvUnkn,amtFoodFur,sex,units
316,11,2024,1,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,1,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,1,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,1,0,1,10,0,default,1,0,211800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,1,0,1,10,0,default,1,0,211800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,1,0,1,10,0,default,1,0,211800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,1,0,1,10,0,default,1,0,210600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,1,0,1,10,0,default,1,0,210800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,1,0,1,10,0,default,1,0,212200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,1,0,1,10,0,default,1,0,212000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,5,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,5,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,5,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,5,0,1,10,0,default,1,0,211800000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,5,0,1,10,0,default,1,0,211800000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,5,0,1,10,0,default,1,0,211800000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,5,0,1,10,0,default,1,0,210600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,5,0,1,10,0,default,1,0,210800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,5,0,1,10,0,default,1,0,212200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,5,0,1,10,0,default,1,0,212000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,13,0,1,10,0,default,1,1,211000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,13,0,1,10,0,default,1,1,211000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,13,0,1,10,0,default,1,1,211000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,13,0,1,10,0,default,1,1,211800000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,13,0,1,10,0,default,1,1,211800000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,13,0,1,10,0,default,1,1,211800000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,13,0,1,10,0,default,1,1,210600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,13,0,1,10,0,default,1,1,210800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,13,0,1,10,0,default,1,1,212200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,13,0,1,10,0,default,1,1,212000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,42,0,1,10,0,default,1,1,211000000,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-6,1,1
316,11,2024,42,0,1,10,0,default,1,1,211000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-6,2,1
316,11,2024,42,0,1,10,0,default,1,1,211000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,42,0,1,10,0,default,1,1,211800000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6,1,1
316,11,2024,42,0,1,10,0,default,1,1,211800000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,42,0,1,10,0,default,1,1,211800000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,42,0,1,10,0,default,1,1,210600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,42,0,1,10,0,default,1,1,210800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,42,0,1,10,0,default,1,1,212200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,42,0,1,10,0,default,1,1,212000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,3,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,3,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,3,0,1,10,0,default,1,0,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,3,0,1,10,0,default,1,0,211800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,3,0,1,10,0,default,1,0,211800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
316,11,2024,3,0,1,10,0,default,1,0,211800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,1
316,11,2024,3,0,1,10,0,default,1,0,210600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,3,0,1,10,0,default,1,0,210800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
316,11,2024,3,0,1,10,0,default,1,0,212200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,3,0,1,10,0,default,1,0,212000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1
316,11,2024,8,0,1,10,0,default,1,1,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,1
316,11,2024,8,0,1,10,0,default,1,1,211000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,1
