projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,resource,histUse,whyDiffDesc,whyDiffCD1,whyDiffCD2,getEnough,resourceNeeded,resNeededDesc,displayGroup,impact,locationDesc,resYN,own,borrow,lease,charter,environChangesYN,environChangesDesc,environChangesCD1,environChangesCD2,units,amt,filterq,usuallyq,pctUse,firewoodChangesYN,firewoodChangesDesc,ride,comments
316,11,2024,1,0,1,66,0,default,110000000,1,LOW NUMBERS - NO ONE GAVE,3,6,0,,-9,6604,1,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,120000000,1,HIGH WATER,9,,0,125600000,SHEEFISH,6606,3,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,210000000,2,,,,1,,,6610,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,220000000,1,NO ONE GAVE,6,,0,220200000,BEAVER,6614,1,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,400000000,1,COST OF GAS AND SHELLS (12 SHELLS = $35),14,,0,410200000,DUCKS,6615,2,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,300000000,0,,,,,,,6612,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,500000000,0,,,,,,,6608,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,600000000,1,"NO INTEREST IN BUGS, SUN, RAIN. I BOUGHT MOST OF MY BERRIES.",7,,0,601002000,BLUEBERRIES,66171,2,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,,,,,,,,,66172,,,,,,,,,,,,,,0,0,3,-8,,,
316,11,2024,1,0,1,66,0,default,0,2,,,,1,,,6600,,,,,,,,1,WETTER,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980110000,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980210100,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980210200,,,,,,,,6620,,,1,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980230000,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980220000,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980210300,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980250100,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980110000,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,1,0,1,66,0,default,980210100,,,,,,,,6621,,,,1,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,1,0,1,66,0,default,980210200,,,,,,,,6621,,,,1,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,1,0,1,66,0,default,980230000,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,1,0,1,66,0,default,980220000,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,1,0,1,66,0,default,980210300,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,1,0,1,66,0,default,980250100,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,1,0,1,66,0,default,980600300,,,,,,,,6622,,,1,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980600400,,,,,,,,6622,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980600500,,,,,,,,6622,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,980600200,,,,,,,,6622,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,,,,,,,,,6622,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,1,0,1,66,0,default,940100322,,,,,,,,6623,,,0,,,,,,,,,1,0,0,0,,,,,
316,11,2024,1,0,1,66,0,default,940100323,,,,,,,,6623,,,0,,,,,,,,,1,0,0,0,,,,,
316,11,2024,1,0,1,66,0,default,940100328,,,,,,,,6623,,,0,,,,,,,,,1,0,0,0,,,,,
316,11,2024,1,0,1,66,0,default,940100334,,,,,,,,6623,,,0,,,,,,,,,4,0,0,0,,,,,
316,11,2024,1,0,1,66,0,default,604002000,,,,,,,,6624,,,0,,,,,,,,,4,0,0,0,,,,,
316,11,2024,1,0,1,66,0,default,604013000,,,,,,,,6624,,,0,,,,,,,,,4,0,0,0,,,,,
316,11,2024,1,0,1,66,0,default,940100326,,,,,,,,6624,,,0,,,,,,,,,4,0,0,0,,,,,
316,11,2024,5,0,1,66,0,default,110000000,3,MORE WAS GIVEN,6,,1,,,6604,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,120000000,1,LESS PEOPLE WERE WILLING TO FISH - WATER WAS DIRTY AND WATER LEVELS CHANGES A LOT.,18,9,1,,,6606,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,210000000,1,DON'T KNOW.,-8,,0,211000000,CARIBOU,6610,1,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,220000000,0,,,,,,,6614,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,400000000,-9,,,,-9,,,6615,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,300000000,2,,,,1,,,6612,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,500000000,0,,,,,,,6608,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,600000000,1,WENT LESS + HAVE NEW SON,7,1,1,,,66171,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,,,,,,,,,66172,,,,,,,,,,,,,,0,0,3,0,,,
316,11,2024,5,0,1,66,0,default,0,1,"GAS PRICES, NO TRANSPORT (RIDE-ALONG), GAS WENT UP TO $18.80.",14,18,0,211000000,"CARIBOU, MOOSE, EVERYTHING REALLY",6600,3,,,,,,,1,EROSION IS MAKING IT HARD TO GET TO BERRIES - WASHED OUT TRAILS. HARD TO GET AROUND WATER.,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,0,1,"GAS PRICES, NO TRANSPORT (RIDE-ALONG), GAS WENT UP TO $18.80.",14,18,0,211800000,"CARIBOU, MOOSE, EVERYTHING REALLY",6600,3,,,,,,,1,EROSION IS MAKING IT HARD TO GET TO BERRIES - WASHED OUT TRAILS. HARD TO GET AROUND WATER.,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,0,1,"GAS PRICES, NO TRANSPORT (RIDE-ALONG), GAS WENT UP TO $18.80.",14,18,0,0,"CARIBOU, MOOSE, EVERYTHING REALLY",6600,3,,,,,,,1,EROSION IS MAKING IT HARD TO GET TO BERRIES - WASHED OUT TRAILS. HARD TO GET AROUND WATER.,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980110000,,,,,,,,6620,,,1,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980210100,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980210200,,,,,,,,6620,,,1,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980230000,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980220000,,,,,,,,6620,,,1,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980210300,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980250100,,,,,,,,6620,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980110000,,,,,,,,6621,,,,1,1,0,0,,,,,,,0,0,,,,1,
316,11,2024,5,0,1,66,0,default,980210100,,,,,,,,6621,,,,0,1,0,0,,,,,,,0,0,,,,1,
316,11,2024,5,0,1,66,0,default,980210200,,,,,,,,6621,,,,1,1,0,0,,,,,,,0,0,,,,1,
316,11,2024,5,0,1,66,0,default,980230000,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,5,0,1,66,0,default,980220000,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,1,
316,11,2024,5,0,1,66,0,default,980210300,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,5,0,1,66,0,default,980250100,,,,,,,,6621,,,,0,0,0,0,,,,,,,0,0,,,,0,
316,11,2024,5,0,1,66,0,default,980600300,,,,,,,,6622,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980600400,,,,,,,,6622,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980600500,,,,,,,,6622,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,980600200,,,,,,,,6622,,,0,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,,,,,,,,,6622,,,,,,,,,,,,,,0,0,,,,,
316,11,2024,5,0,1,66,0,default,940100322,,,,,,,,6623,,,0,,,,,,,,,1,0,0,0,,,,,
316,11,2024,5,0,1,66,0,default,940100323,,,,,,,,6623,,,0,,,,,,,,,1,0,0,0,,,,,
316,11,2024,5,0,1,66,0,default,940100328,,,,,,,,6623,,,0,,,,,,,,,1,0,0,0,,,,,
316,11,2024,5,0,1,66,0,default,940100334,,,,,,,,6623,,,0,,,,,,,,,4,0,0,0,,,,,
316,11,2024,5,0,1,66,0,default,604002000,,,,,,,,6624,,,0,,,,,,,,,4,0,0,0,,,,,
316,11,2024,5,0,1,66,0,default,604013000,,,,,,,,6624,,,0,,,,,,,,,4,0,0,0,,,,,
316,11,2024,5,0,1,66,0,default,940100326,,,,,,,,6624,,,0,,,,,,,,,4,0,0,0,,,,,
