projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,usuallyq,resource,used,attempt,harvestq,giveaway,received,units,displayGroup,harvSum,harvSpr,harvFal,harvWin,harvUnkn,amtHarvest,resourceComment
316,11,2024,1,0,1,15,0,Birds,1,0,410404990,1,0,0,0,1,1,1501,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410410000,1,0,0,0,1,1,1501,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410402000,0,0,0,0,0,1,1501,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410406000,0,0,0,0,0,1,1501,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410408000,0,0,0,0,0,1,1501,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410499000,0,0,0,0,0,1,1501,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410214000,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410218000,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410220000,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410236020,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410232060,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410230000,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410226990,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410202000,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410212000,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410210990,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410204000,0,0,0,0,0,1,1502,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410228020,0,0,0,0,0,1,1503,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410228040,0,0,0,0,0,1,1503,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410228060,0,0,0,0,0,1,1503,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410206020,0,0,0,0,0,1,1503,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410206990,0,0,0,0,0,1,1503,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,410299000,1,0,0,0,1,1,1503,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,421804990,0,0,0,0,0,1,1504,0,0,0,0,0,,
316,11,2024,1,0,1,15,0,Birds,1,0,421802990,0,0,0,0,0,1,1504,0,0,0,0,0,,
