projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,intvwr,intvwr2,intDate,strtime,endtime,coder,refusedFL,hhSize,huntFishYN,recContComment
316,11,2024,1,0,1,00,0,default,HD,,2025-04-14T00:00:00Z,1545,1602,HD,,,,
316,11,2024,5,0,1,00,0,default,HD,,2025-04-12T00:00:00Z,1818,1912,HD,,,,
316,11,2024,13,0,1,00,0,default,HD,,2025-04-10T00:00:00Z,1422,1617,HD,,,,
316,11,2024,42,0,1,00,0,default,HD,,2025-04-10T00:00:00Z,955,1119,HD,,,,
316,11,2024,3,0,1,00,0,default,HD,EP,2025-04-11T00:00:00Z,1429,1458,HD,,,,
316,11,2024,8,0,1,00,0,default,HD,,2025-04-13T00:00:00Z,1617,1649,HD,,,,
316,11,2024,11,0,1,00,0,default,HD,,2025-04-11T00:00:00Z,1842,1926,HD,,,,
316,11,2024,14,0,1,00,0,default,CLS,,2025-04-10T00:00:00Z,1100,1144,CLS,,,,
316,11,2024,18,0,1,00,0,default,HD,,2025-04-16T00:00:00Z,1457,1534,HD,,,,
316,11,2024,19,0,1,00,0,default,HD,,2025-04-14T00:00:00Z,1405,1511,HD,,,,
316,11,2024,20,0,1,00,0,default,BS,,2025-04-13T00:00:00Z,1430,1510,BS,,,,
316,11,2024,21,0,1,00,0,default,BS,,2025-04-15T00:00:00Z,1058,1124,BS,,,,
316,11,2024,23,0,1,00,0,default,BS,EP,2025-04-10T00:00:00Z,1048,1201,BS,,,,
316,11,2024,25,0,1,00,0,default,HD,,2025-04-10T00:00:00Z,1413,1535,HD,,,,
316,11,2024,26,0,1,00,0,default,BS,EP,2025-04-10T00:00:00Z,1454,1545,BS,,,,
316,11,2024,27,0,1,00,0,default,HD,,2025-04-14T00:00:00Z,1122,1203,HD,,,,
316,11,2024,43,0,1,00,0,default,BS,,2025-04-10T00:00:00Z,956,1030,BS,,,,
316,11,2024,33,0,1,00,0,default,BS,EP,2025-04-10T00:00:00Z,1252,1318,BS,,,,
316,11,2024,28,0,1,00,0,default,BS,AK,2025-04-14T00:00:00Z,1004,1031,BS,,,,
316,11,2024,34,0,1,00,0,default,HD,,2025-04-13T00:00:00Z,1440,1558,HD,,,,
316,11,2024,29,0,1,00,0,default,BS,EP,2025-04-10T00:00:00Z,1506,1645,BS,,,,
316,11,2024,36,0,1,00,0,default,HD,,2025-04-11T00:00:00Z,1305,1335,HD,,,,
316,11,2024,37,0,1,00,0,default,BS,,2025-04-13T00:00:00Z,1510,1537,BS,,,,
316,11,2024,47,0,1,00,0,default,HD,,2025-04-12T00:00:00Z,1740,1815,HD,,,,
316,11,2024,48,0,1,00,0,default,BS,,2025-04-13T00:00:00Z,1340,1403,BS,,,,
316,11,2024,30,0,1,00,0,default,BS,AK,2025-04-11T00:00:00Z,1501,1604,BS,,,,
316,11,2024,50,0,1,00,0,default,BS,,2025-04-14T00:00:00Z,1420,1450,BS,,,,
316,11,2024,51,0,1,00,0,default,HD,,2025-04-11T00:00:00Z,1510,1645,HD,,,,
316,11,2024,31,0,1,00,0,default,MM,TB,2025-04-12T00:00:00Z,1256,1417,TB,,,,
316,11,2024,52,0,1,00,0,default,HD,,2025-04-12T00:00:00Z,1721,1744,HD,,,,
316,11,2024,53,0,1,00,0,default,BS,EP,2025-04-10T00:00:00Z,1328,1354,BS,,,,
316,11,2024,55,0,1,00,0,default,BS,,2025-04-14T00:00:00Z,1245,1312,BS,,,,
316,11,2024,56,0,1,00,0,default,HD,,2025-04-10T00:00:00Z,1325,1400,HD,,,,
316,11,2024,59,0,1,00,0,default,BS,,2025-04-10T00:00:00Z,1651,1720,BS,,,,
316,11,2024,60,0,1,00,0,default,HD,,2025-04-11T00:00:00Z,1725,1815,HD,,,,
316,11,2024,61,0,1,00,0,default,HD,,2025-04-13T00:00:00Z,1738,1849,HD,,,,
316,11,2024,63,0,1,00,0,default,TB,MM,2025-04-12T00:00:00Z,1503,1729,TB,,,,
316,11,2024,64,0,1,00,0,default,BS,,2025-04-13T00:00:00Z,1754,1820,BS,,,,
316,11,2024,66,0,1,00,0,default,CLS,,2025-04-14T00:00:00Z,1355,1415,CLS,,,,
316,11,2024,67,0,1,00,0,default,HD,,2025-04-13T00:00:00Z,1714,1803,HD,,,,
316,11,2024,68,0,1,00,0,default,BS,,2025-04-16T00:00:00Z,1304,1352,BS,,,,
316,11,2024,69,0,1,00,0,default,BS,,2025-04-11T00:00:00Z,1200,1209,CLS,,,,
316,11,2024,70,0,1,00,0,default,BS,,2025-04-11T00:00:00Z,1220,1235,CLS,,,,
316,11,2024,72,0,1,00,0,default,BS,,2025-04-11T00:00:00Z,1315,1330,CLS,,,,
316,11,2024,73,0,1,00,0,default,BS,,2025-04-15T00:00:00Z,821,836,BS,,,,
316,11,2024,74,0,1,00,0,default,BS,,2025-04-11T00:00:00Z,1721,1748,BS,,,,
316,11,2024,75,0,1,00,0,default,BS,,2025-04-11T00:00:00Z,1335,1350,CLS,,,,
316,11,2024,77,0,1,00,0,default,BS,,2025-04-15T00:00:00Z,1008,1045,BS,,,,
316,11,2024,32,0,1,00,0,default,BS,EP,2025-04-10T00:00:00Z,1215,1247,BS,,,,
