projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,usuallyq,resource,used,attempt,harvestq,giveaway,received,units,amtRodReel,amtOtherGear,othGearCD1,amtDogFood,displayGroup,amtUnspecifiedSubsistenceNet,amtHookUnderIce,amtUnspecifiedGillNet,amtNetUnderIce
316,11,2024,1,0,1,06,0,default,1,0,125600000,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,126404000,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,126408000,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,126406060,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,126412000,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,126406040,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,126499000,1,0,0,0,1,1,0,0,,0,601,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,125006990,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,125002000,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,125012000,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,125010000,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,125500000,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,124800000,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,125200000,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,126000000,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,120406000,0,0,0,0,0,4,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,121010000,0,0,0,0,0,1,0,0,,0,602,,0,0,0
316,11,2024,1,0,1,06,0,default,1,0,120200000,0,0,0,0,0,4,0,0,,0,602,,0,0,0
316,11,2024,5,0,1,06,0,default,1,1,125600000,1,1,1,0,1,1,2,0,,0,601,,0,0,0
316,11,2024,5,0,1,06,0,default,1,1,126404000,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,5,0,1,06,0,default,1,1,126408000,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,5,0,1,06,0,default,1,1,126406060,0,0,0,0,0,1,0,0,,0,601,,0,0,0
316,11,2024,5,0,1,06,0,default,1,1,126412000,1,0,0,0,1,1,0,0,,0,601,,0,0,0
316,11,2024,5,0,1,06,0,default,1,1,126406040,0,0,0,0,0,1,0,0,,0,601,,0,0,0
