projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,usuallyq,resource,used,attempt,harvestq,giveaway,received,units,displayGroup,amtHarvest,resourceComment
316,11,2024,1,0,1,17,0,default,1,1,601002000,1,1,1,0,0,4,1701,1,
316,11,2024,1,0,1,17,0,default,1,1,601016000,0,0,0,0,0,4,1701,0,
316,11,2024,1,0,1,17,0,default,1,1,601007000,0,0,0,0,0,4,1701,0,
316,11,2024,1,0,1,17,0,default,1,1,601004000,1,1,1,0,1,12,1701,1,
316,11,2024,1,0,1,17,0,default,1,1,601006000,0,0,0,0,0,4,1701,0,
316,11,2024,1,0,1,17,0,default,1,1,602031000,0,0,0,0,0,4,1701,0,
316,11,2024,1,0,1,17,0,default,1,1,602028000,0,0,0,0,0,4,1701,0,
316,11,2024,1,0,1,17,0,default,1,1,602044000,1,1,1,0,1,5,1701,2,
316,11,2024,1,0,1,17,0,default,1,1,602018000,0,0,0,0,0,4,1701,0,
316,11,2024,1,0,1,17,0,default,1,1,602009000,0,0,0,0,0,4,1701,0,
316,11,2024,1,0,1,17,0,default,1,1,602049000,0,0,0,0,0,4,1702,0,
316,11,2024,1,0,1,17,0,default,1,1,602051000,0,0,0,0,0,4,1702,0,
316,11,2024,1,0,1,17,0,default,1,1,602040000,0,0,0,0,0,4,1702,0,
316,11,2024,1,0,1,17,0,default,1,1,604000002,1,0,0,0,1,6,1702,0,
316,11,2024,1,0,1,17,0,default,1,1,604000000,0,0,0,0,0,6,1702,0,
316,11,2024,5,0,1,17,0,default,1,1,601002000,1,1,1,1,0,4,1701,10,
316,11,2024,5,0,1,17,0,default,1,1,601016000,1,1,1,0,1,4,1701,1,
316,11,2024,5,0,1,17,0,default,1,1,601007000,1,1,1,1,0,4,1701,1,
316,11,2024,5,0,1,17,0,default,1,1,601004000,1,1,1,1,0,4,1701,8,
316,11,2024,5,0,1,17,0,default,1,1,601006000,0,0,0,0,0,4,1701,0,
316,11,2024,5,0,1,17,0,default,1,1,602031000,0,0,0,0,0,4,1701,0,
316,11,2024,5,0,1,17,0,default,1,1,602028000,0,0,0,0,0,4,1701,0,
316,11,2024,5,0,1,17,0,default,1,1,602044000,0,0,0,0,0,4,1701,0,
316,11,2024,5,0,1,17,0,default,1,1,602018000,0,0,0,0,0,4,1701,0,
316,11,2024,5,0,1,17,0,default,1,1,602009000,0,0,0,0,0,4,1701,0,
316,11,2024,5,0,1,17,0,default,1,1,602049000,0,0,0,0,0,4,1702,0,
316,11,2024,5,0,1,17,0,default,1,1,602051000,0,0,0,0,0,4,1702,0,
316,11,2024,5,0,1,17,0,default,1,1,602040000,0,0,0,0,0,4,1702,0,
316,11,2024,5,0,1,17,0,default,1,1,604000002,1,1,1,0,0,6,1702,1,
316,11,2024,5,0,1,17,0,default,1,1,604000000,0,0,0,0,0,6,1702,0,
316,11,2024,13,0,1,17,0,default,1,1,601002000,1,1,1,1,0,4,1701,5,
316,11,2024,13,0,1,17,0,default,1,1,601016000,1,1,1,0,0,4,1701,2,
316,11,2024,13,0,1,17,0,default,1,1,601007000,1,1,1,0,0,4,1701,1,
316,11,2024,13,0,1,17,0,default,1,1,601004000,1,1,1,0,0,4,1701,6,
316,11,2024,13,0,1,17,0,default,1,1,601006000,0,0,0,0,0,4,1701,0,
316,11,2024,13,0,1,17,0,default,1,1,602031000,0,0,0,0,0,4,1701,0,
316,11,2024,13,0,1,17,0,default,1,1,602028000,0,0,0,0,0,4,1701,0,
316,11,2024,13,0,1,17,0,default,1,1,602044000,0,0,0,0,0,4,1701,0,
316,11,2024,13,0,1,17,0,default,1,1,602018000,0,0,0,0,0,4,1701,0,
316,11,2024,13,0,1,17,0,default,1,1,602009000,0,0,0,0,0,4,1701,0,
316,11,2024,13,0,1,17,0,default,1,1,602049000,0,0,0,0,0,4,1702,0,
316,11,2024,13,0,1,17,0,default,1,1,602051000,0,0,0,0,0,4,1702,0,
316,11,2024,13,0,1,17,0,default,1,1,602040000,0,0,0,0,0,4,1702,0,
316,11,2024,13,0,1,17,0,default,1,1,604000002,1,1,1,1,1,6,1702,-8,"4*13GAL TRASH BAGS. JUNIPER BRANCHES (MEDICINAL USE, JUNIPER TEA)."
316,11,2024,13,0,1,17,0,default,1,1,604000000,1,1,1,1,1,6,1702,10,
316,11,2024,13,0,1,17,0,default,1,1,602036000,1,1,1,0,0,4,1701,2,
316,11,2024,13,0,1,17,0,default,1,1,604013000,1,1,1,0,0,6,1702,-8,WILLOW BRANCHES FOR BASKET WEAVING.
316,11,2024,42,0,1,17,0,default,1,1,601002000,1,1,1,1,0,4,1701,6,
316,11,2024,42,0,1,17,0,default,1,1,601016000,1,1,1,1,0,4,1701,6,
316,11,2024,42,0,1,17,0,default,1,1,601007000,0,0,0,0,0,4,1701,0,
316,11,2024,42,0,1,17,0,default,1,1,601004000,1,1,1,1,0,4,1701,6,
316,11,2024,42,0,1,17,0,default,1,1,601006000,0,0,0,0,0,4,1701,0,
316,11,2024,42,0,1,17,0,default,1,1,602031000,0,0,0,0,0,4,1701,0,
316,11,2024,42,0,1,17,0,default,1,1,602028000,0,0,0,0,0,4,1701,0,
316,11,2024,42,0,1,17,0,default,1,1,602044000,1,1,1,1,0,4,1701,2,
316,11,2024,42,0,1,17,0,default,1,1,602018000,0,0,0,0,0,4,1701,0,
316,11,2024,42,0,1,17,0,default,1,1,602009000,1,1,1,1,0,4,1701,25,1 WHITE TRASH BAG (SPECIFIED THE GALLONS)
316,11,2024,42,0,1,17,0,default,1,1,602049000,0,0,0,0,0,4,1702,0,
316,11,2024,42,0,1,17,0,default,1,1,602051000,0,0,0,0,0,4,1702,0,
316,11,2024,42,0,1,17,0,default,1,1,602040000,0,0,0,0,0,4,1702,0,
316,11,2024,42,0,1,17,0,default,1,1,604000002,1,1,1,1,0,6,1702,9,"SELLS FIREWOOD TOO; INCLUDES BIRCH, 'ALL-NIGHTER' WOOD."
316,11,2024,42,0,1,17,0,default,1,1,604000000,0,0,0,0,0,6,1702,0,
316,11,2024,42,0,1,17,0,default,1,1,601020000,1,1,1,1,0,4,1701,8,
316,11,2024,3,0,1,17,0,default,1,1,601002000,1,1,1,0,1,4,1701,-8,
316,11,2024,3,0,1,17,0,default,1,1,601016000,0,0,0,0,0,4,1701,0,
316,11,2024,3,0,1,17,0,default,1,1,601007000,1,1,1,0,0,4,1701,-8,
316,11,2024,3,0,1,17,0,default,1,1,601004000,0,0,0,0,0,4,1701,0,
316,11,2024,3,0,1,17,0,default,1,1,601006000,0,0,0,0,0,4,1701,0,
316,11,2024,3,0,1,17,0,default,1,1,602031000,0,0,0,0,0,4,1701,0,
316,11,2024,3,0,1,17,0,default,1,1,602028000,0,0,0,0,0,4,1701,0,
316,11,2024,3,0,1,17,0,default,1,1,602044000,0,0,0,0,0,4,1701,0,
316,11,2024,3,0,1,17,0,default,1,1,602018000,0,0,0,0,0,4,1701,0,
316,11,2024,3,0,1,17,0,default,1,1,602009000,0,0,0,0,0,4,1701,0,
316,11,2024,3,0,1,17,0,default,1,1,602049000,0,0,0,0,0,4,1702,0,
316,11,2024,3,0,1,17,0,default,1,1,602051000,0,0,0,0,0,4,1702,0,
316,11,2024,3,0,1,17,0,default,1,1,602040000,0,0,0,0,0,4,1702,0,
316,11,2024,3,0,1,17,0,default,1,1,604000002,1,0,0,0,1,6,1702,0,
316,11,2024,3,0,1,17,0,default,1,1,604000000,0,0,0,0,0,6,1702,0,
316,11,2024,8,0,1,17,0,default,1,1,601002000,1,1,1,0,0,4,1701,2,
316,11,2024,8,0,1,17,0,default,1,1,601016000,1,1,1,0,0,4,1701,1,
316,11,2024,8,0,1,17,0,default,1,1,601007000,1,1,1,0,0,4,1701,1,
316,11,2024,8,0,1,17,0,default,1,1,601004000,1,1,1,0,0,4,1701,2,
316,11,2024,8,0,1,17,0,default,1,1,601006000,0,0,0,0,0,4,1701,0,
316,11,2024,8,0,1,17,0,default,1,1,602031000,0,0,0,0,0,4,1701,0,
316,11,2024,8,0,1,17,0,default,1,1,602028000,0,0,0,0,0,4,1701,0,
316,11,2024,8,0,1,17,0,default,1,1,602044000,0,0,0,0,0,4,1701,0,
316,11,2024,8,0,1,17,0,default,1,1,602018000,0,0,0,0,0,4,1701,0,
316,11,2024,8,0,1,17,0,default,1,1,602009000,0,0,0,0,0,4,1701,0,
316,11,2024,8,0,1,17,0,default,1,1,602049000,0,0,0,0,0,4,1702,0,
316,11,2024,8,0,1,17,0,default,1,1,602051000,0,0,0,0,0,4,1702,0,
316,11,2024,8,0,1,17,0,default,1,1,602040000,0,0,0,0,0,4,1702,0,
316,11,2024,8,0,1,17,0,default,1,1,604000002,1,1,1,0,0,6,1702,3,
316,11,2024,8,0,1,17,0,default,1,1,604000000,0,0,0,0,0,6,1702,0,
316,11,2024,11,0,1,17,0,default,1,1,601002000,1,1,1,1,0,4,1701,6,
316,11,2024,11,0,1,17,0,default,1,1,601016000,1,1,1,0,0,5,1701,2,
316,11,2024,11,0,1,17,0,default,1,1,601007000,0,0,0,0,0,4,1701,0,
316,11,2024,11,0,1,17,0,default,1,1,601004000,1,1,1,1,0,4,1701,6,
316,11,2024,11,0,1,17,0,default,1,1,601006000,0,0,0,0,0,4,1701,0,
316,11,2024,11,0,1,17,0,default,1,1,602031000,0,0,0,0,0,4,1701,0,
316,11,2024,11,0,1,17,0,default,1,1,602028000,0,0,0,0,0,4,1701,0,
316,11,2024,11,0,1,17,0,default,1,1,602044000,0,0,0,0,0,4,1701,0,
316,11,2024,11,0,1,17,0,default,1,1,602018000,0,0,0,0,0,4,1701,0,
316,11,2024,11,0,1,17,0,default,1,1,602009000,0,0,0,0,0,4,1701,0,
316,11,2024,11,0,1,17,0,default,1,1,602049000,0,0,0,0,0,4,1702,0,
316,11,2024,11,0,1,17,0,default,1,1,602051000,0,0,0,0,0,4,1702,0,
316,11,2024,11,0,1,17,0,default,1,1,602040000,0,0,0,0,0,4,1702,0,
316,11,2024,11,0,1,17,0,default,1,1,604000002,1,1,1,1,1,6,1702,4,
316,11,2024,11,0,1,17,0,default,1,1,604000000,0,0,0,0,0,6,1702,0,
316,11,2024,14,0,1,17,0,default,1,1,601002000,1,1,1,0,0,4,1701,5,
316,11,2024,14,0,1,17,0,default,1,1,601016000,1,1,1,0,0,4,1701,3,
316,11,2024,14,0,1,17,0,default,1,1,601007000,1,1,1,0,0,4,1701,2,
316,11,2024,14,0,1,17,0,default,1,1,601004000,1,1,1,0,0,4,1701,4,
316,11,2024,14,0,1,17,0,default,1,1,601006000,0,0,0,0,0,4,1701,0,
316,11,2024,14,0,1,17,0,default,1,1,602031000,0,0,0,0,0,4,1701,0,
316,11,2024,14,0,1,17,0,default,1,1,602028000,0,0,0,0,0,4,1701,0,
316,11,2024,14,0,1,17,0,default,1,1,602044000,0,0,0,0,0,4,1701,0,
316,11,2024,14,0,1,17,0,default,1,1,602018000,0,0,0,0,0,4,1701,0,
316,11,2024,14,0,1,17,0,default,1,1,602009000,0,0,0,0,0,4,1701,0,
316,11,2024,14,0,1,17,0,default,1,1,602049000,0,0,0,0,0,4,1702,0,
316,11,2024,14,0,1,17,0,default,1,1,602051000,0,0,0,0,0,4,1702,0,
316,11,2024,14,0,1,17,0,default,1,1,602040000,0,0,0,0,0,4,1702,0,
316,11,2024,14,0,1,17,0,default,1,1,604000002,1,1,1,1,1,6,1702,10,
