projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,otherIncomeYN,pfdOrNatCorpYN,displayGroup,incReceived,incsrce,amount
316,11,2024,1,0,1,24,0,default,1,1,2401,1,32,5106
316,11,2024,1,0,1,24,0,default,1,1,2401,1,13,-9
316,11,2024,1,0,1,24,0,default,1,1,2402,0,12,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,8,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,7,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,5,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,31,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,35,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,11,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,3,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,10,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,9,0
316,11,2024,1,0,1,24,0,default,1,1,2402,0,6,0
316,11,2024,1,0,1,24,0,default,1,1,2403,0,2,0
316,11,2024,1,0,1,24,0,default,1,1,2403,1,15,19200
316,11,2024,1,0,1,24,0,default,1,1,2403,0,41,0
316,11,2024,1,0,1,24,0,default,1,1,2403,0,49,0
316,11,2024,1,0,1,24,0,default,1,1,2403,1,50,5900
316,11,2024,1,0,1,24,0,default,1,1,2403,0,33,0
316,11,2024,5,0,1,24,0,default,1,1,2401,1,32,6808
316,11,2024,5,0,1,24,0,default,1,1,2401,1,13,-8
316,11,2024,5,0,1,24,0,default,1,1,2402,0,12,0
316,11,2024,5,0,1,24,0,default,1,1,2402,0,8,0
316,11,2024,5,0,1,24,0,default,1,1,2402,1,7,-8
316,11,2024,5,0,1,24,0,default,1,1,2402,0,5,0
316,11,2024,5,0,1,24,0,default,1,1,2402,0,31,0
316,11,2024,5,0,1,24,0,default,1,1,2402,0,35,0
316,11,2024,5,0,1,24,0,default,1,1,2402,1,11,18000
316,11,2024,5,0,1,24,0,default,1,1,2402,0,3,0
316,11,2024,5,0,1,24,0,default,1,1,2402,0,10,0
316,11,2024,5,0,1,24,0,default,1,1,2402,1,9,-8
316,11,2024,5,0,1,24,0,default,1,1,2402,0,6,0
316,11,2024,5,0,1,24,0,default,1,1,2403,0,2,0
316,11,2024,5,0,1,24,0,default,1,1,2403,1,15,700
316,11,2024,5,0,1,24,0,default,1,1,2403,0,41,0
316,11,2024,5,0,1,24,0,default,1,1,2403,0,49,0
316,11,2024,5,0,1,24,0,default,1,1,2403,0,50,0
316,11,2024,5,0,1,24,0,default,1,1,2403,0,33,0
316,11,2024,13,0,1,24,0,default,1,1,2401,1,32,3404
316,11,2024,13,0,1,24,0,default,1,1,2401,1,13,7171
316,11,2024,13,0,1,24,0,default,1,1,2402,0,12,0
316,11,2024,13,0,1,24,0,default,1,1,2402,0,8,0
316,11,2024,13,0,1,24,0,default,1,1,2402,1,7,12000
316,11,2024,13,0,1,24,0,default,1,1,2402,1,5,6000
316,11,2024,13,0,1,24,0,default,1,1,2402,0,31,0
316,11,2024,13,0,1,24,0,default,1,1,2402,0,35,0
316,11,2024,13,0,1,24,0,default,1,1,2402,0,11,0
316,11,2024,13,0,1,24,0,default,1,1,2402,0,3,0
316,11,2024,13,0,1,24,0,default,1,1,2402,0,10,0
316,11,2024,13,0,1,24,0,default,1,1,2402,0,9,0
316,11,2024,13,0,1,24,0,default,1,1,2402,0,6,0
316,11,2024,13,0,1,24,0,default,1,1,2403,0,2,0
316,11,2024,13,0,1,24,0,default,1,1,2403,0,15,0
316,11,2024,13,0,1,24,0,default,1,1,2403,0,41,0
316,11,2024,13,0,1,24,0,default,1,1,2403,0,49,0
316,11,2024,13,0,1,24,0,default,1,1,2403,1,50,1200
316,11,2024,13,0,1,24,0,default,1,1,2403,0,33,0
316,11,2024,42,0,1,24,0,default,0,1,2401,1,32,1702
316,11,2024,42,0,1,24,0,default,0,1,2401,1,13,6526
316,11,2024,42,0,1,24,0,default,0,1,2402,0,12,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,8,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,7,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,5,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,31,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,35,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,11,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,3,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,10,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,9,0
316,11,2024,42,0,1,24,0,default,0,1,2402,0,6,0
316,11,2024,42,0,1,24,0,default,0,1,2403,0,2,0
316,11,2024,42,0,1,24,0,default,0,1,2403,0,15,0
316,11,2024,42,0,1,24,0,default,0,1,2403,0,41,0
316,11,2024,42,0,1,24,0,default,0,1,2403,0,49,0
316,11,2024,42,0,1,24,0,default,0,1,2403,0,50,0
316,11,2024,42,0,1,24,0,default,0,1,2403,0,33,0
316,11,2024,3,0,1,24,0,default,1,1,2401,1,32,1702
316,11,2024,3,0,1,24,0,default,1,1,2401,1,13,-8
316,11,2024,3,0,1,24,0,default,1,1,2402,0,12,0
316,11,2024,3,0,1,24,0,default,1,1,2402,0,8,0
316,11,2024,3,0,1,24,0,default,1,1,2402,0,7,0
316,11,2024,3,0,1,24,0,default,1,1,2402,0,5,0
316,11,2024,3,0,1,24,0,default,1,1,2402,0,31,0
316,11,2024,3,0,1,24,0,default,1,1,2402,0,35,0
316,11,2024,3,0,1,24,0,default,1,1,2402,1,11,-8
316,11,2024,3,0,1,24,0,default,1,1,2402,1,3,-8
316,11,2024,3,0,1,24,0,default,1,1,2402,0,10,0
316,11,2024,3,0,1,24,0,default,1,1,2402,0,9,0
316,11,2024,3,0,1,24,0,default,1,1,2402,0,6,0
316,11,2024,3,0,1,24,0,default,1,1,2403,0,2,0
316,11,2024,3,0,1,24,0,default,1,1,2403,0,15,0
316,11,2024,3,0,1,24,0,default,1,1,2403,0,41,0
316,11,2024,3,0,1,24,0,default,1,1,2403,0,49,0
316,11,2024,3,0,1,24,0,default,1,1,2403,0,50,0
316,11,2024,3,0,1,24,0,default,1,1,2403,0,33,0
316,11,2024,8,0,1,24,0,default,1,1,2401,1,32,5106
316,11,2024,8,0,1,24,0,default,1,1,2401,1,13,13373
316,11,2024,8,0,1,24,0,default,1,1,2402,0,12,0
316,11,2024,8,0,1,24,0,default,1,1,2402,0,8,0
