marginNoteID,projID,studyear,communty,HHID,version,pgNum,pageName,marginNote,addedBy,addedDate,recordTypeCD,recordType,recordTypeDetailDesc
6414,316,2024,11,13,1,22,frm_Page_22,UNKNOWN SEAL = SEAL OIL,DFG\lsnavarro,2025-05-22T11:41:45.743Z,12,Marine Mammals,Harvest and use information for marine mammals
6418,316,2024,11,42,1,9,frm_Page_09,SILVER WITH PINK SPOT.,DFG\lsnavarro,2025-05-22T13:35:56.580Z,6,Non-salmon Fish harvests (non commercial),"Harvests of fish other than salmon, not including commercial home-pack."
6419,316,2024,11,42,1,13,frm_Page_13,GROUND SQUIRREL: DOG FOOD.,DFG\lsnavarro,2025-05-22T13:41:12.963Z,14,Small Land mammals,Harvest and use information for small land mammals and furbearers
6420,316,2024,11,42,1,18,frm_Page_18,"SCOTERS: ""ALL THE SAME TO ME""",DFG\lsnavarro,2025-05-22T13:53:48.427Z,15,Birds and Eggs,Harvest and use information for birds and eggs
6421,316,2024,11,42,1,22,frm_Page_22,UNKNOWN SEAL = SEAL OIL,DFG\lsnavarro,2025-05-22T13:57:14.303Z,12,Marine Mammals,Harvest and use information for marine mammals
6422,316,2024,11,42,1,31,frm_Page_31,ANTLERS: 1 SIDE,DFG\lsnavarro,2025-05-22T14:12:32.200Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
6423,316,2024,11,42,1,31,frm_Page_31,ROOTS: FOR BIDING-STITCHING.,DFG\lsnavarro,2025-05-22T14:15:47.690Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
6648,316,2024,11,3,1,23,frm_Page_23,FIRST TIME GETTING MARINE MAMMALS.,DFG\hevaldez,2025-06-12T13:26:12.283Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
6649,316,2024,11,11,1,3,frm_Page_03,"HE SAID FOR ALL HIS KIDS THAT THEY WERE LIVING IN AMBLER AND HAVE BEEN HERE FOR THEIR WHOLE LIVES, THEN LATER IN THE SURVEY INDICATED THE 9 YEAR OLDS WERE ACTUALLY FOSTERED.",DFG\hevaldez,2025-06-12T14:23:53.967Z,1,Person information,Contains person level demographic and participation records for each person in the household
6650,316,2024,11,14,1,7,frm_Page_07,HIGH WATER FOR 4 YEARS. THERES NO BANKS TO PULL THEIR SEINE UP,DFG\hevaldez,2025-06-12T15:21:57.143Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
6651,316,2024,11,14,1,8,frm_Page_08,HE FISHES W/S HHS HE GAVE ME BOTH TOTAL AND HH HARVEST,DFG\hevaldez,2025-06-12T15:34:51.080Z,6,Non-salmon Fish harvests (non commercial),"Harvests of fish other than salmon, not including commercial home-pack."
6652,316,2024,11,14,1,11,frm_Page_11,CARIBOU WERE LATE THIS YEAR,DFG\hevaldez,2025-06-12T15:36:56.277Z,10,Large Land Mammals,Harvest and use information for large Land mammals
6653,316,2024,11,14,1,15,frm_Page_15,GRAND KIDS HARDLY EAT BEAVER. WENT OUT WITH YOUNGER BOYS.,DFG\hevaldez,2025-06-12T15:38:21.190Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
6654,316,2024,11,14,1,21,frm_Page_21,HAS YOUNG BOYS FOLLOW HIM OUT,DFG\hevaldez,2025-06-12T16:12:06.753Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
6668,316,2024,11,19,1,10,frm_Page_10,IM MISSING DRIED FISH SO MUCH,DFG\hevaldez,2025-06-13T09:44:43.320Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
6684,316,2024,11,21,1,12,frm_Page_12,"STORE AND GAS WENT WAY UP. IT WAS $20 A GALLON, BUT ITS DOWN TO $15.15. IF WE DON’T HAVE MEAT OR CARIBOU THEN WE HAVE TO GO TO THE STORE.",DFG\hevaldez,2025-06-13T12:41:31Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
6686,316,2024,11,23,1,7,frm_Page_07,BYSTANDERS ALSO COME BY AND HELP US OUT AND FISH. HARD TO DRY FISH WITH WET SEASON. NEED INDUSTRIAL DRYNG RACKS SO THE RAIN WONT GET ON THEM.,DFG\hevaldez,2025-06-13T13:19:36.247Z,66,Assessments,"Includes the standard assessment questions about resource availibility, HH use, needs and impacts."
